ID,A13_1,A13_2,A13_3,A13_4,A13_5,A13_6,AS13_1,AS13_2,AS13_3,AS13_4,AS13_5,AS13_6,W13_1,W13_2,W13_3,W13_4,W13_5,W13_6,WS13_1,WS13_2,WS13_3,WS13_4,WS13_5,WS13_6
OTU_127,0,0,0,0,0,0,0,0,71,0,0,45,0,0,0,0,0,0,31,26,24,31,0,0
OTU_128,44,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_129,0,0,0,0,0,0,0,28,41,43,37,40,0,13,0,0,0,0,0,0,51,44,37,0
OTU_130,0,0,0,7,0,0,26,57,52,73,52,57,0,0,0,0,0,0,0,11,0,0,0,0
OTU_131,59,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_132,0,0,0,0,0,0,61,30,63,114,32,78,0,0,0,0,0,0,3,17,17,0,0,39
OTU_133,0,0,0,0,0,0,37,21,27,42,34,0,0,0,0,0,0,0,20,27,26,19,26,20
OTU_134,0,0,0,0,0,0,0,0,0,31,22,0,0,0,0,0,0,0,0,42,14,0,22,0
OTU_135,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,0,0,71,0,42,20,32,15
OTU_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
OTU_137,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_138,0,0,0,0,0,0,9,0,41,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
OTU_139,0,0,0,0,0,11,24,33,80,37,0,41,0,0,0,0,0,0,0,0,26,0,0,0
OTU_140,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,35,41,29
OTU_141,0,0,0,0,0,0,0,0,0,40,22,19,0,0,0,0,0,0,0,0,0,0,23,0
OTU_142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
OTU_143,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_144,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,37,0,0,21,4
OTU_145,0,0,0,0,0,0,34,13,0,58,0,0,0,0,0,0,0,0,21,0,44,6,16,12
OTU_146,0,0,0,0,0,0,29,0,59,69,43,26,0,0,0,0,0,0,7,14,18,14,0,12
OTU_147,0,0,0,0,28,12,37,28,0,0,0,34,0,0,0,0,0,0,2,0,3,2,0,0
OTU_148,0,0,0,0,0,0,0,0,0,24,13,31,0,0,0,25,0,0,37,20,22,0,6,0
OTU_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,24,0,27,0
OTU_150,0,0,0,8,0,0,0,35,0,15,0,18,0,0,0,0,0,0,5,0,0,0,16,0
OTU_151,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
